Source,Target
aria,arịa
tari,tarị
owutoku,owutọkụ
be,ḅe
yi,yi
koroma,koroma
siki,sịkị
lame,lamẹ
se,se
josef,josẹf
be,ḅe
nwose,nwọse
o,ọ̀
chinme,chịnmẹ
jizos,jizọs
tamuno,tamụnọ
be,ḅe
dawo,ḍawọ
bu,ḅụ
weri,wẹrị
inia,inia
berijineme,ḅerijinemẹ
na,na
ini,ini
bari,ḅarị
vinpiki,vinpịkị
herod,hẹrọd
be,ḅe
damamunma,damamunma
ani,anị
ini,ini
vinpiki,vinpịkị
jin,jin
ateli,ateli
bu,ḅụ
boro,ḅọrọ
so,so
inia,inia
ama,ama
mun,mun
ye-e,ye-ẹ
mangiso,mangịso
ijipt,ijipt
mun,mun
mi,mị
ini,ini
so,so
boro,bọrọ
siki,sịkị
nyanabo,nyanaḅọ
be,ḅe
enjelbo,enjẹlḅọ
obu,ọ̀ḅụ
se,se
dawoju,ḍawọju
josef,josẹf
be,ḅe
dieme,ḍiemẹ
se,se
nwo,nwọ
beme,ḅẹmẹ
sise,sịsẹ
se,se
toku,tọkụ
be,ḅe
na,na
nyongoro,nyọngọrọ
ma,ma
na,na
deki,deki
mangi,mangị
ijipt,ijipt
mun,mun
se,se
ani,anị
nyo,nyọ
bu,ḅụ
anga,anga
sime,sime
okimun,ọkịmun
ari,àrị
i,ị́
be,ḅẹ
so,so
nwo,nwọ
bebia,ḅẹḅịa
siki,sịkị
la,la
aniatibi,anịatịbị
herod,hẹrọd
be,ḅe
o,ọ̀
toku,tọkụ
be,ḅe
dokibia,ḍọkịḅịa
o,ọ̀
babia,ḅaḅịa
erechi,ẹrẹchị
josef,josẹf
be,ḅe
sise,sịsẹ
se,se
toku,tọkụ
be,ḅe
na,na
nyongoro,nyọngọrọ
ma,ma
na,na
deki,deki
se,se
din,ḍin
bu,ḅụ
ini,ini
se,se
ijipt,ijipt
mume,mumẹ
anianga,anịanga
o,ò
sime,sime
mun,mun
herod,hẹrọd
be,ḅe
fi,fị
siki,sịkị
nwo,nwọ
lame,lamẹ
min,mịn
mi,mị
mieme,mịẹmẹ
miese,mịẹse
nyanabo,nyanaḅọ
be,ḅe
oria,oria
ikiankorobo,ịkịankoroḅọ
be,ḅe
bu,ḅụ
boro,ḅọrọ
se,se
kon,kọn
okwein,ọkwẹịn
mi,mị
bo,ḅo
kokomaye,kọkọmaye
nwo,nwọ
sobia,sọḅịa
bara,ḅara
na,na
ijipt,ijipt
ama,ama
mi,mị
bie,ḅie
ari,àrị
iya,ị̀ya
toku,tọkụ
be,ḅe
chin,chịn
pakumabome,pakụmaḅomẹ
awomeni,awọmẹnị
ma,ma
be,ḅe
mi,mị
herod,hẹrọd
be,ḅe
bo,ḅo
nemi,nemi
na,na
irua,ịrụa
pakapaka,pakapaka
nyo,nyọ
bu,ḅụ
weri,wẹrị
bo,ḅo
igoniapu,igoniapụ
ma,ma
epele,epele
se,se
o,ò
tisam,tisam
nwo,nwọ
be,ḅẹ
siki,sịkị
ani,anị
opuma,opuma
o,ò
buosome,ḅuosọmẹ
o,ọ̀
kuro,kụrọ
pirime,pịrịmẹ
na,na
ini,ini
betlihem,bẹtlihẹm
na,na
ani,anị
na,na
kpeki,kpeki
ama,ama
ma,ma
na,na
bie,ḅie
sime,sime
owuapuawo,owuapụawọ
mamgba,mamgba
nwo,nwọ
ba,ḅa
mama,mama
kura,kụra
lasa,lasa
awo,awọ
bu,ḅụ
oki,ọkị
iderima-igoniapu,iderima-igoniapụ
ma,ma
bipi,ḅịpị
bu,ḅụ
o,ọ̀
naa,naa
lolia,lolia
mi,mị
paka,paka
siki,sịkị
mi,mị
nwose,nwọse
bu,ḅụ
kienma,kịẹnma
rema,rema
bie,ḅie
ini,ini
owutibi,owutịḅị
bie,ḅie
naame,naamẹ
aku,akụ
owu,owu
be,ḅe
nyo,nyọ
fiema,fiema
bara,ḅara
rechel,rechẹl
ma,ma
aria,arịa
awo,awọ
ma,ma
gose,gose
owuabe,owuaḅẹ
ini,ini
a,á
kubiekuroma,kuḅiekụrọma
a,á
dukuke,ḍụkụkẹ
aniatibi,anịatịḅị
inimgba,inimgba
ini,ini
ini,ini
baasam,ḅaasam
ijipt,ijipt
bu,ḅụ
vinpiki,vinpịkị
so,so
mi,mị
herod,hẹrọd
be,ḅe
fi,fị
boro,bọrọ
siki,sịkị
nyanabo,nyanaḅọ
be,ḅe
enjelbo,enjẹlḅọ
dawoju,ḍawọju
ijipt,ijipt
bie,ḅie
obu,ọ̀ḅụ
se,se
josef,josẹf
be,ḅe
dieme,ḍiemẹ
se,se
nwo,nwọ
beme,ḅẹmẹ
sise,sịsẹ
se,se
toku,tọkụ
be,ḅe
na,na
nyongoro,nyọngọrọ
ma,ma
na,na
nwo,nwọ
deki,deki
vinpiki,vinpịkị
izrel,izrẹl
ama,ama
mi,mị
mun,mun
aniatibi,anịatịḅị
toku,tọkụ
be,ḅe
ba,ḅa
na,na
nyongoro,nyọngọrọ
ma,ma
na,na
nwo,nwọ
deki,deki
vinpiki,vinpịkị
izrel,izrẹl
ama,ama
mi,mị
mun,mun
aniatibi,anịatịḅị
toku,tọkụ
be,ḅe
ba,ḅa
dokiapu,ḍọkịapụ
ma,ma
ini,ini
fisam,fịsam
ani,ànị
josef,josẹf
be,ḅe
sise,sịsẹ
se,se
toku,tọkụ
be,ḅe
na,na
nyongoro,nyọngọrọ
ma,ma
na,na
nwo,nwọ
deki,deki
vinpiki,vinpịkị
izrel,izrẹl
munye-e,munye-ẹ
josef,josẹf
be,ḅe
bo,ḅo
naa,naa
na,na
akilos,akịlọs
be,ḅe
dawu,ḍawu
herod,hẹrọd
amanyanabo,amanyanaḅọ
be,ḅe
kiri,kiri
dinma,ḍinma
judia,judia
dabe,daḅẹ
nwo,nwọ
be,ḅẹ
siki,sịkị
josef,josẹf
be,ḅe
o,ọ̀
balafame,balafamẹ
mun,mun
ani,anị
nyo,nyọ
bu,ḅụ
anga,anga
okuma,ọkụma
ini,ini
dawoju,ḍawọju
okwein,ọkwẹịn
kon,kọn
o,ọ̀
pirisa,pịrịsa
bara,ḅara
bu,ḅụ
o,ò
so,so
galili,galili
pekere,pẹkẹrẹ
mi,mị
nwo,nwọ
mume,mumẹ
se,se
mun,mun
nazaret,nazarẹt
nwo,nwọ
chin,chịn
ama,ama
mi,mị
se,se
oria,oria
anga,anga
nyo,nyọ
mieye-e,mịẹye-ẹ
o,ọ̀
min,mịn
mi,mị
mieme,mịẹmẹ
miese,mịẹse
ikiankoroapu,ịkịankoroapụ
ma,ma
duko,ḍuko
ye,ye
mi,mị
bo,ḅo
kokomaye,kọkọmaye
sobia,sọḅịa
bara,ḅara
naa,naa
ini,ini
nazaretbo,nazarẹtḅọ
nwose,nwọse
o,ọ̀
chinbia,chịnḅịa
jon,jọn
mengisarabo,mengisaraḅọ
be,ḅe
duko,ḍuko
tamuno,tamụnọ
bere,ḅerẹ
mi,mị
anisiki,anịsịkị
mi,mị
bu,ḅụ
jon,jọn
mengisarabo,mengisaraḅọ
be,ḅe
judia,judia
onwu,onwu
ele,ele
ogbo,ogbo
bie,ḅie
bome,ḅomẹ
se,se
saki,sakị
tamunobere,tamụnọḅẹrẹ
mi,mị
nwo,nwọ
dukome,ḍukomẹ
o,ọ̀
nwo,nwọ
beme,ḅẹmẹ
omine,omine
ominea,ominea
si,si
ma,ma
bu,ḅụ
vinpiki,vinpịkị
aniatibi,anịatịḅị
sobie,soḅie
amanyanakiri,amanyanakiri
mi,mị
ani,anị
kpekisam,kpekisam
aizaya,aịzaya
ikiankorobo,ịkịankoroḅọ
be,ḅe
jon,jọn
be,ḅe
bu,ḅụ
bere,ḅẹrẹ
dukoari,ḍukoarị
siki,sịkị
o,ọ̀
nwo,nwọ
beme,ḅẹmẹ
gboribo,gbọrịḅọ
onwu,onwu
ele,ele
ogbo,ogbo
mi,mị
bie,ḅie
olokuabe,olokuaḅẹ
ateli,ateli
karakarama,karakarama
nyanabo,nyanaḅọ
be,ḅe
piri,pịrị
gonogono,gonogono
ateli,ateli
mie,mịẹ
o,ọ̀
piri,pịrị
o,ọ̀
boro’,ḅọrọ’
ikeasun,ikeasụn
namaichuka,namaichuka
ini,ini
nwose,nwọse
buchuaye,ḅụchụaye
mie,mịẹ
jon,jọn
be,ḅe
pirime,pịrịmẹ
se,se
nama,nama
ojuapura,ojuapụra
birikunye,ḅirikunye
o,ọ̀
nwose,nwọse
o,ọ̀
birikunme,ḅirikunmẹ
o,ọ̀
piki,pịkị
chinmgbolu,chịnmgbọlụ
na,na
piribein,pịrịḅein
na,na
se,se
fiye,fịye
mie,mịẹ
fime,fịmẹ
ini,ini
inia,inia
sima,sima
duko,ḍuko
pakumame,pakụmamẹ
se,se
o,ọ̀
jodan,jọdan
mi,mị
bie,ḅie
mengi,mengi
se,se
ini,ini
sarame,saramẹ
jon,jọn
be,ḅe
ion-a,iọn-a
farisiapu,farisiapụ
na,na
sadusiapu,sadusiapụ
na,na
mengisara,mengisara
gose,gose
o,ọ̀
damaboari,damaḅoarị
oku,ọkụ
nwo,nwọ
ori,ọrị
siki,sịkị
o,ọ̀
nwose,nwọse
ini,ini
beme,ḅẹmẹ
omine,omine
oruwu,oruwu
ogbo,ogbo
tubo,tụḅọ
duko,ḍuko
o,ọ́
piri,pịrị
na,na
omine,omine
ineda,ineda
bo-e,ḅo-ẹ
ton-ari,tọn-arị
tamuno,tamụnọ
igani,ịganị
mi,mị
bie,ḅie
mangisobia,mangịsoḅịa
ominea,ominea
si,si
ma,ma
bu,ḅụ
o,ọ́
barasinsam,ḅarasinsam
nwo,nwọ
be,ḅẹ
ye,ye
o,ọ́
nwo,nwọ
mi-e,mị-ẹ
se,se
o,ó
koroma,koroma
ma,ma
na,na
omine,omine
ineda,ineda
igani,ịganị
mi,mị
bu,ḅụ
mangisobia,mangịsoḅịa
ebraham,ebraham
be,ḅe
minea,minea
biejudabo-e,ḅiejuḍaḅọ-ẹ
gose,gose
a,à
duko,ḍuko
o,ọ́
piriabe,pịrịaḅẹ
na,na
tamuno,tamụnọ
be,ḅe
ori,ori
ineda,ineda
maa,maa
dupari,ḍụparị
ma,ma
oki,ọkị
se,se
ari,àri
se,se
awo,awọ
mie,mịẹ
ebraham,ebraham
be,ḅe
piribia,pịrịḅịa
apala,apala
mi,mị
ini,ini
ani,anị
karakaramasam,karakaramasam
kunoma,kunoma
bu,ḅụ
weri,wẹrị
chin,chịn
ma,ma
nwo,nwọ
pele,pẹlẹ
gbinbia,gbinḅịa
erechi,ẹrẹchị
ibi,iḅi
chingbolu,chịngbọlụ
chuaka,chụaka
chin,chịn
goyegoye,goyegoye
ini,ini
ani,anị
pele,pẹlẹ
se,se
fini,fịnị
bie,ḅie
gbin,gbin
chuabia,chụaḅịa
a,à
mengi,mengi
seni,seni
o,ọ́
sarame,saramẹ
se,se
diepakuma,ḍiepakụma
na,na
o,ó
sibupikisam,siḅụpịkịsam
okuma,ọkụma
iya,ị̀ya
obuju,ọḅụjụ
bo,ḅo
bia,ḅịa
bo,ḅọ
be,ḅe
fiafia,fịafịa
teme,tẹmẹ
be,ḅe
na,na
fini,fịnị
na,na
o,ọ̀
nwose,nwọse
mengi,mengi
se,se
o,ọ́
sarabia,saraḅịa
o,ọ̀
bakama,bakama
opuso,opusọ
i,ị̀
nengime,nẹngịmẹ
oria,oria
akpaka,akpaka
ma,ma
deki,deki
soni,sọnị
i,ị̀
bugbeinke,ḅụgbẹịnkẹ
oria,oria
yesele,yesẹlẹ
ogu,ogu
ori,ori
na,na
omi-e,omi-ẹ
o,ò
se,se
ipiamgba,ịpịamgba
magbolu,magbọlụ
ma,ma
nwo,nwọ
selebia,sẹlẹḅịa
ori,ori
oria,oria
ipiamgba,ịpịamgba
ma,ma
kobirima,koḅirima
oria,oria
fiye,fịye
koko,koko
nyo,nyọ
mi,mị
bie,ḅie
chuabia,chụaḅịa
se,se
osirosiroba,osirosiroḅa
ma,ma
nwo,nwọ
dokimabia,dọkịmaḅịa
ngisi,ngịsị
bin,bin
eka,ẹka
fini,fịnị
mi,mị
bie,ḅie
jizos,jizọs
be,ḅe
mengisara,mengisara
mi,mị
okuma,ọkụma
jon,jọn
be,ḅe
bukuroma,ḅụkụrọma
dokime,ḍọkịmẹ
jizos,jizọs
be,ḅe
o,ò
kubie,kuḅie
dinma,dinma
jon,jọn
be,ḅe
nwo,nwọ
beme,ḅẹmẹ
iri,ị́ri
ani,anị
mengi,mengi
se,se
i,ị̀
ra,ra
gbeinye-e,gbẹịnye-ẹ
okuma,ọkụma
iri,ị̀rị
re,re
mi,mị
i,ị́
damabo,damaḅo
ye-e,ye-ẹ
okuma,ọkụma
jizos,jizọs
be,ḅe
nwose,nwọse
o,ò
pekereme,pẹkẹrẹmẹ
ye,ye
ani,anị
pa,pa
mioku,mịọkụ
oko,ọkọ
sime,sime
aniatibi,anịatịḅị
min,mịn
mi,mị
bu,ḅụ
wa,wa
boro,ḅọrọ
tamuno,tamụnọ
be,ḅe
biari,ḅiarị
ye,ye
ma,ma
mgba,mgba
nwo,nwọ
mie,mịẹ
beinmabia,ḅeinmaḅịa
jon,jọn
be,ḅe
ani,anị
bu,ḅụ
berenime,ḅerenimẹ
o,ò
mengi,mengi
mi,mị
se,se
jizos,jizọs
be,ḅe
sara,sara
so,so
kirikiri,kirikiri
jizos,jizọs
be,ḅe
mengi,mengi
mi,mị
bie,ḅie
iwo,iwo
pakabome,pakaḅomẹ
anisiki,anịsịkị
so,so
boko,ḅọkọ
mi,mị
finji,finji
o,ọ̀
pirime,pịrịmẹ
se,se
tamuno,tamụnọ
teme,tẹmẹ
be,ḅe
okúku,okúkú
bara,ḅara
seni,seni
ideri,ideri
bo,ḅo
oria,oria
ogono,ọgọnọ
chie,chịẹ
oku,ọkụ
o,ọ̀
nwo,nwọ
orime,ọrịmẹ
ani,anị
puko,pụkọ
sobie,soḅie
nwo,nwọ
be,ḅẹ
ye-e,ye-ẹ
be,ḅe
ani,anị
ibu,ị̀ḅụ
yela,yela
toku,tọkụ
be-e,ḅe-ẹ
oria,òria
mie,mịẹ
ye,ye
opuma,opuma
ibubeleme,ịḅụḅẹlẹmẹ
jizos,jizọs
be,ḅe
dadiki,ḍaḍiki
mi,mị
anisiki,anịsịkị
teme,tẹmẹ
be,ḅe
jizos,jizọs
be,ḅe
nwo,nwọ
boroma,ḅọrọma
onwuele,onwuele
ogbo,ogbo
mume,mumẹ
oru,oru
be,ḅe
o,ọ̀
dadikibia,ḍaḍikiḅịa
erechi,ẹrẹchị
jizos,jizọs
be,ḅe
buru,ḅuru
o,ọ̀
tarime,tarị̀mẹ
enekaka-a,enekaka-a
mesi,mesi
na,na
din-a,ḍin-a
mesi,mesi
o,ọ̀
nwose,nwọse
onwuele,onwuele
ogbo,ogbo
sime,sime
bu,ḅụ
